,ticker,dividendo,yeld,soma_yield_12m,rentabilidade,setor,valor,liquidezmediadiaria,pvp,p_vpa,ativos,numero_cotista
201,HGCR11,0.95,0.96,13.46,8.0213,Papéis,97.28,2447379.22,0.9769,0.976902992568789,14,103557
202,HGIC11,0.7,1.14,14.35,-0.6418,Papéis,63.45,4183.3,0.5679,0.567937701396348,2,683
203,HGLG11,1.1,0.7,8.59,1.8317,Imóveis Industriais e Logísticos,156.16,12332353.43,0.9422,0.9421986243513937,29,544807
204,HGPO11,57.05,48.22,0.0,101.2496,Lajes Corporativas,153.48,144197.22,1.0062,0.9863119336803546,2,8698
205,HGRE11,0.85,0.69,11.1,5.5592,Lajes Corporativas,121.69,1649903.09,0.8237,0.8237324849387396,13,143935
206,HGRU11,0.95,0.74,10.21,3.5596,Misto,129.0,2720245.91,0.9989,0.9989159052191421,100,229702
207,HILG11,9.8667,0.0,1.46,0.0,Indefinido,184.96,186.67,0.7432,,1,104
208,HLOG11,0.07,0.75,10.55,5.2706,Imóveis Industriais e Logísticos,9.17,48713.65,0.7635,0.7635303913405496,3,4164
209,HOFC11,0.21,0.65,0.0,67.5913,Lajes Corporativas,32.97,129658.22,0.573,,2,4396
210,HOSI11,0.2536,0.3,7.1,0.0,Imóveis Residenciais,83.99,3460.59,0.6932,0.6932155827005613,14,1085
211,HPDP11,0.82,0.87,7.25,17.1854,Shoppings,92.67,5655075.81,0.8492,0.8491707138275452,1,389
212,HRDF11,6.8,0.0,0.0,0.0,Fundo de Desenvolvimento,3.62,51720.29,0.4161,,14,847
213,HREC11,0.08,0.94,12.58,8.8673,Papéis,8.44,238180.26,0.9451,0.9451287793952967,14,2460
214,HRES11,0.8159,0.0,2.52,0.0,Imóveis Residenciais,141.53,2140733.0,1.1301,,14,137
215,HSAF11,0.95,1.19,15.02,4.4199,Papéis,79.04,491179.83,0.884,0.8840174477127839,14,8711
216,HSLG11,0.72,0.79,9.9,1.8317,Imóveis Industriais e Logísticos,91.9,628533.65,0.8365,0.836519206262516,7,40402
217,HSML11,0.7,0.74,9.65,13.5684,Shoppings,94.53,4031637.83,0.9084,0.9084182202575437,14,190493
218,HSRE11,0.85,0.79,10.83,7.6686,Misto,94.79,126404.52,1.0847,1.0846778807643895,22,423
219,HTMX11,1.2,0.88,11.52,1.3522,Hotéis,136.6,410565.22,0.9227,0.9226612630867949,20,34286
220,HUCG11,0.793,0.83,3.29,9.7649,Hospitalar,91.99,2463.0,0.7179,,2,237
221,HUSC11,1.05,1.07,10.29,-0.8709,Hospitalar,96.01,2417.0,0.6368,0.6361227058901477,2,752
222,HUSI11,9.257,0.76,2.21,0.0,Hospitalar,1210.74,1626.67,0.9684,0.9684293038769487,14,101
223,HYPI11,0.689,0.0,0.0,0.0,Outros,180.54,363.0,73.3902,,2,109
224,IAAG11,0.12,1.43,18.72,17.9715,Indefinido,8.22,336467.3,0.8379,0.8379204892966361,0,13647
225,IAGR11,0.006,0.15,0.3,45.4895,Indefinido,4.3,4350.65,0.6305,0.6869009584664537,0,3477
226,IBBP11,0.0736,0.88,10.12,-1.1194,Imóveis Industriais e Logísticos,7.5,561639.57,0.7553,,22,1039
227,IBCR11,0.6,1.2,18.01,3.1221,Papéis,51.38,151180.83,0.57,0.570002218770801,14,4060
228,ICNE11,16.571,0.0,0.0,0.0,Imóveis Residenciais,1000.0,1081.43,1.5071,,14,6
229,ICRI11,1.05,1.08,13.32,18.9828,Misto,96.26,1174879.52,0.9411,,14,11413
230,IDFI11,1.5607,78.04,0.0,44259.4346,Indefinido,2.0,2592.8,1.25,1.25,1,617
231,IDGR11,0.0898,5.99,0.0,-48.0441,Misto,1.5,332.83,16.6667,,1,171
232,IDUA11,1.4537,0.0,0.0,0.0,Imóveis Comerciais - Outros,64.42,,6.7526,,14,1
233,IFRA11,1.05,1.04,12.43,14.306,Indefinido,99.78,2000676.96,0.0,,0,0
234,IFRI11,1.1,1.05,14.26,11.3971,Misto,103.57,1465861.48,0.0,,0,0
235,IMOV11,0.075,0.0,0.0,0.0,Indefinido,0.0,,0.0,,14,13027
236,INFA11,0.09,0.0,0.92,0.0,Outros,9.82,,0.0,,0,0
237,INFB11,1.0,0.99,2.19,18.9231,Indefinido,85.01,4935.06,0.0,,0,0
238,INLG11,0.6,0.8,12.04,7.4507,Imóveis Industriais e Logísticos,74.1,266044.04,0.697,,5,15522
239,INRD11,0.69,0.88,10.93,10.7599,Fundo de Desenvolvimento,78.52,122864.48,0.6644,,5,6093
240,IRIF11,0.12,1.29,15.15,13.9097,Papéis,9.25,47170.87,0.0,,0,0
